amount,payment_method,failure_reason,retry_count,customer_success_rate,is_anomaly,recovered
64122.97,UPI,INVALID_DETAILS,2,0.47,0,0
89271.87,UPI,LIMIT_EXCEEDED,3,0.32,0,0
3140.33,CARD,INVALID_DETAILS,4,0.59,0,0
1146.63,CARD,INVALID_DETAILS,3,0.53,0,0
10669.92,WALLET,INSUFFICIENT_FUNDS,2,0.88,1,1
46212.78,UPI,TIMEOUT,0,0.68,1,1
19632.71,UPI,INSUFFICIENT_FUNDS,1,0.83,0,0
38322.56,WALLET,INVALID_DETAILS,2,0.41,0,0
93697.13,UPI,LIMIT_EXCEEDED,1,0.66,0,0
98957.57,CARD,INVALID_DETAILS,2,0.87,0,1
31887.58,NET_BANKING,INSUFFICIENT_FUNDS,1,0.92,1,1
65716.15,WALLET,INVALID_DETAILS,3,0.4,0,0
26642.79,WALLET,LIMIT_EXCEEDED,3,0.55,0,1
5188.08,UPI,BANK_ERROR,1,0.84,0,1
59790.9,WALLET,LIMIT_EXCEEDED,2,0.96,0,1
88536.45,NET_BANKING,UNKNOWN,2,0.38,0,1
72348.16,NET_BANKING,LIMIT_EXCEEDED,1,0.65,0,1
64075.47,CARD,BANK_ERROR,2,0.82,1,0
91890.1,NET_BANKING,TIMEOUT,0,0.38,0,0
31097.66,UPI,BANK_ERROR,4,0.94,0,0
97809.46,CARD,BANK_ERROR,3,0.94,0,0
42602.23,CARD,LIMIT_EXCEEDED,1,0.78,0,0
44090.96,WALLET,INSUFFICIENT_FUNDS,1,0.45,0,0
59049.79,UPI,INSUFFICIENT_FUNDS,0,0.46,0,1
24181.46,WALLET,BANK_ERROR,4,0.39,1,0
47560.81,WALLET,BANK_ERROR,0,0.37,0,1
86451.76,UPI,INVALID_DETAILS,0,0.34,0,1
19563.21,WALLET,BANK_ERROR,3,0.42,0,0
44591.51,UPI,INSUFFICIENT_FUNDS,4,0.87,0,0
17047.96,WALLET,TIMEOUT,1,0.89,0,1
39346.96,WALLET,NETWORK_ERROR,3,0.77,1,0
19394.84,CARD,INSUFFICIENT_FUNDS,4,0.8,0,1
58625.67,CARD,INSUFFICIENT_FUNDS,4,0.35,0,0
86251.01,WALLET,INSUFFICIENT_FUNDS,4,0.47,1,0
65908.63,NET_BANKING,NETWORK_ERROR,1,0.76,0,1
67333.18,NET_BANKING,TIMEOUT,2,0.93,0,0
56517.87,UPI,INSUFFICIENT_FUNDS,4,0.44,0,0
7344.74,CARD,NETWORK_ERROR,2,0.41,1,0
98729.69,UPI,INVALID_DETAILS,4,0.5,0,0
11985.15,UPI,INVALID_DETAILS,4,0.41,0,0
20757.93,NET_BANKING,LIMIT_EXCEEDED,3,0.47,0,0
28029.68,UPI,NETWORK_ERROR,1,0.73,0,1
70713.91,UPI,INSUFFICIENT_FUNDS,0,0.94,0,0
58459.7,CARD,TIMEOUT,1,0.33,0,0
86139.91,NET_BANKING,BANK_ERROR,1,0.75,0,0
40934.55,CARD,BANK_ERROR,1,0.96,0,1
73788.16,NET_BANKING,UNKNOWN,3,0.85,0,0
11255.51,UPI,UNKNOWN,3,0.45,0,0
87196.64,CARD,INSUFFICIENT_FUNDS,1,0.57,0,0
